,id,end_date,start_date,project_id,created_at,updated_at,instructor_updated,active
0,3,2017-03-20 14:59:59,2017-03-15 15:00:00,5,2017-03-16 00:31:48,2017-04-24 15:33:28,1,1
1,4,2017-03-20 14:59:59,2017-03-16 15:00:00,4,2017-03-17 00:31:27,2017-04-24 15:33:28,1,1
2,5,2017-03-20 05:59:59,2017-03-16 06:00:00,3,2017-03-20 03:42:25,2017-04-24 15:33:30,1,1
3,6,2017-03-20 14:59:59,2017-03-16 15:00:00,3,2017-03-20 04:02:10,2017-04-24 15:33:31,1,1
4,7,2017-03-27 14:59:59,2017-03-22 15:00:00,5,2017-03-23 00:32:02,2017-04-24 15:33:32,1,1
5,8,2017-03-27 14:59:59,2017-03-23 15:00:00,3,2017-03-24 00:31:35,2017-04-24 15:33:33,1,1
6,9,2017-03-27 14:59:59,2017-03-23 15:00:00,4,2017-03-24 00:31:35,2017-04-24 15:33:33,1,1
7,10,2017-03-27 05:59:59,2017-03-23 06:00:00,3,2017-03-24 08:08:59,2017-04-24 15:33:35,1,1
8,11,2017-04-03 14:59:59,2017-03-29 15:00:00,5,2017-03-30 00:31:25,2017-04-24 15:33:36,1,1
9,12,2017-04-03 14:59:59,2017-03-30 15:00:00,3,2017-03-31 00:31:25,2017-04-24 15:33:37,1,1
10,13,2017-04-03 14:59:59,2017-03-30 15:00:00,4,2017-03-31 00:31:25,2017-04-24 15:33:38,1,1
11,14,2017-04-10 14:59:59,2017-04-05 15:00:00,5,2017-04-06 00:31:28,2017-04-24 15:33:39,1,1
12,15,2017-04-10 14:59:59,2017-04-06 15:00:00,3,2017-04-07 00:31:55,2017-04-24 15:33:41,1,1
13,16,2017-04-10 14:59:59,2017-04-06 15:00:00,4,2017-04-07 00:31:55,2017-04-24 15:33:41,1,1
14,17,2017-04-17 14:59:59,2017-04-12 15:00:00,5,2017-04-13 00:31:49,2017-04-24 15:33:43,1,1
15,18,2017-04-17 14:59:59,2017-04-13 15:00:00,3,2017-04-14 00:31:54,2017-04-24 15:33:46,1,1
16,19,2017-04-17 14:59:59,2017-04-13 15:00:00,4,2017-04-14 00:31:54,2017-04-24 15:33:46,1,1
17,20,2017-04-17 05:59:59,2017-04-12 06:00:00,5,2017-04-16 13:18:30,2017-04-24 15:33:47,1,1
18,21,2017-04-24 14:59:59,2017-04-19 15:00:00,5,2017-04-20 00:31:50,2017-04-24 15:33:48,1,1
19,22,2017-04-24 14:59:59,2017-04-20 15:00:00,3,2017-04-21 00:31:42,2017-04-24 15:33:50,1,1
20,23,2017-04-24 14:59:59,2017-04-20 15:00:00,4,2017-04-21 00:31:42,2017-04-24 15:33:51,1,1
21,24,2017-05-01 14:59:59,2017-04-26 15:00:00,5,2017-04-27 00:31:35,2017-05-01 15:32:40,1,1
22,25,2017-05-01 14:59:59,2017-04-27 15:00:00,3,2017-04-28 00:31:52,2017-05-01 15:32:41,1,1
23,26,2017-05-01 14:59:59,2017-04-27 15:00:00,4,2017-04-28 00:31:52,2017-05-01 15:32:41,1,1
24,27,2017-05-08 14:59:59,2017-05-03 15:00:00,5,2017-05-04 00:32:01,2017-05-10 15:31:26,1,1
25,28,2017-05-08 14:59:59,2017-05-04 15:00:00,3,2017-05-05 00:31:35,2017-05-10 15:31:28,1,1
26,29,2017-05-08 14:59:59,2017-05-04 15:00:00,4,2017-05-05 00:31:36,2017-05-10 15:31:28,1,1
27,30,2017-05-15 14:59:59,2017-05-10 15:00:00,5,2017-05-11 00:31:40,2017-05-15 15:31:18,1,1
28,31,2017-05-15 05:59:59,2017-05-10 06:00:00,5,2017-05-11 02:41:49,2017-05-15 06:31:30,1,1
29,32,2017-05-15 14:59:59,2017-05-11 15:00:00,3,2017-05-12 00:31:32,2017-05-15 15:31:19,1,1
30,33,2017-05-15 14:59:59,2017-05-11 15:00:00,4,2017-05-12 00:31:32,2017-05-15 15:31:19,1,1
31,34,2017-05-22 14:59:59,2017-05-17 15:00:00,5,2017-05-18 00:31:51,2017-05-22 15:30:33,1,1
32,35,2017-05-22 14:59:59,2017-05-18 15:00:00,3,2017-05-19 00:31:16,2017-05-22 15:30:36,1,1
33,36,2017-05-22 14:59:59,2017-05-18 15:00:00,4,2017-05-19 00:31:16,2017-05-22 15:30:40,1,1
34,37,2017-05-29 14:59:59,2017-05-24 15:00:00,5,2017-05-25 00:31:32,2017-05-29 15:31:09,1,1
35,38,2017-05-29 14:59:59,2017-05-25 15:00:00,3,2017-05-26 00:31:31,2017-05-29 15:31:11,1,1
36,39,2017-05-29 14:59:59,2017-05-25 15:00:00,4,2017-05-26 00:31:31,2017-05-29 15:31:11,1,1
37,40,2017-06-12 14:59:59,2017-06-07 15:00:00,5,2017-06-08 00:31:26,2017-06-12 15:31:28,1,1
38,41,2017-06-12 14:59:59,2017-06-08 15:00:00,4,2017-06-09 00:31:44,2017-06-12 15:31:29,1,1
39,42,2017-06-19 14:59:59,2017-06-14 15:00:00,5,2017-06-15 00:31:54,2017-06-19 15:21:19,1,1
40,43,2017-06-19 05:59:59,2017-06-14 06:00:00,5,2017-06-15 13:32:11,2017-06-19 06:30:32,1,1
41,44,2017-06-19 14:59:59,2017-06-15 15:00:00,3,2017-06-16 00:31:43,2017-06-19 15:21:18,1,1
42,45,2017-06-19 14:59:59,2017-06-15 15:00:00,4,2017-06-16 00:31:43,2017-06-19 15:21:18,1,1
43,46,2017-09-18 14:59:59,2017-09-14 15:00:00,6,2017-09-15 00:20:31,2017-09-18 15:21:22,1,1
44,47,2017-09-17 14:59:59,2017-09-14 15:00:00,7,2017-09-15 00:20:31,2017-09-17 15:20:50,1,1
45,48,2017-09-18 14:59:59,2017-09-14 15:00:00,8,2017-09-15 00:20:31,2017-09-18 15:21:22,1,1
46,49,2017-09-18 14:59:59,2017-09-14 15:00:00,9,2017-09-15 00:20:31,2017-09-18 15:21:24,1,1
47,50,2017-09-18 14:59:59,2017-09-14 15:00:00,7,2017-09-18 22:20:47,2017-09-18 22:20:50,1,1
48,51,2017-09-25 14:59:59,2017-09-21 15:00:00,6,2017-09-22 00:20:48,2017-09-25 15:21:05,1,1
49,52,2017-09-25 14:59:59,2017-09-21 15:00:00,7,2017-09-22 00:20:48,2017-09-25 15:21:06,1,1
50,53,2017-09-25 14:59:59,2017-09-21 15:00:00,8,2017-09-22 00:20:48,2017-09-25 15:21:07,1,1
51,54,2017-09-25 14:59:59,2017-09-21 15:00:00,9,2017-09-22 00:20:48,2017-09-25 15:21:09,1,1
52,55,2017-09-25 05:59:59,2017-09-21 06:00:00,8,2017-09-23 02:59:51,2017-09-25 06:20:44,1,1
53,56,2017-09-25 05:59:59,2017-09-21 06:00:00,6,2017-09-23 02:59:58,2017-09-25 06:20:44,1,1
54,57,2017-09-25 05:59:59,2017-09-21 06:00:00,7,2017-09-23 02:59:58,2017-09-25 06:20:44,1,1
55,58,2017-09-25 05:59:59,2017-09-21 06:00:00,9,2017-09-23 02:59:58,2017-09-25 06:20:45,1,1
56,59,2017-10-02 14:59:59,2017-09-28 15:00:00,6,2017-09-29 00:20:59,2017-10-02 15:21:14,1,1
57,60,2017-10-02 14:59:59,2017-09-28 15:00:00,7,2017-09-29 00:20:59,2017-10-02 15:21:15,1,1
58,61,2017-10-02 14:59:59,2017-09-28 15:00:00,8,2017-09-29 00:20:59,2017-10-02 15:21:15,1,1
59,62,2017-10-02 14:59:59,2017-09-28 15:00:00,9,2017-09-29 00:20:59,2017-10-02 15:21:17,1,1
60,63,2017-10-09 14:59:59,2017-10-05 15:00:00,6,2017-10-06 00:20:52,2017-10-09 15:20:55,1,1
61,64,2017-10-09 14:59:59,2017-10-05 15:00:00,7,2017-10-06 00:20:52,2017-10-09 15:20:56,1,1
62,65,2017-10-09 14:59:59,2017-10-05 15:00:00,8,2017-10-06 00:20:52,2017-10-09 15:20:57,1,1
63,66,2017-10-09 14:59:59,2017-10-05 15:00:00,9,2017-10-06 00:20:53,2017-10-09 15:21:00,1,1
64,67,2017-10-16 14:59:59,2017-10-12 15:00:00,6,2017-10-13 00:20:45,2017-10-16 15:20:51,1,1
65,68,2017-10-16 14:59:59,2017-10-12 15:00:00,7,2017-10-13 00:20:45,2017-10-16 15:20:52,1,1
66,69,2017-10-16 14:59:59,2017-10-12 15:00:00,8,2017-10-13 00:20:45,2017-10-16 15:20:53,1,1
67,70,2017-10-16 14:59:59,2017-10-12 15:00:00,9,2017-10-13 00:20:45,2017-10-16 15:20:56,1,1
68,71,2017-10-23 14:59:59,2017-10-19 15:00:00,6,2017-10-20 00:20:31,2017-10-23 15:21:09,1,1
69,72,2017-10-23 14:59:59,2017-10-19 15:00:00,7,2017-10-20 00:20:31,2017-10-23 15:21:09,1,1
70,73,2017-10-23 14:59:59,2017-10-19 15:00:00,8,2017-10-20 00:20:31,2017-10-23 15:21:10,1,1
71,74,2017-10-23 14:59:59,2017-10-19 15:00:00,9,2017-10-20 00:20:31,2017-10-23 15:21:11,1,1
72,75,2017-10-30 14:59:59,2017-10-26 15:00:00,6,2017-10-27 00:21:13,2017-10-30 15:21:52,1,1
73,76,2017-10-30 14:59:59,2017-10-26 15:00:00,7,2017-10-27 00:21:13,2017-10-30 15:21:53,1,1
74,77,2017-10-30 14:59:59,2017-10-26 15:00:00,8,2017-10-27 00:21:13,2017-10-30 15:21:54,1,1
75,78,2017-10-30 14:59:59,2017-10-26 15:00:00,9,2017-10-27 00:21:13,2017-10-30 15:21:56,1,1
76,79,2017-11-06 14:59:59,2017-11-02 15:00:00,6,2017-11-03 00:21:56,2017-11-06 15:21:26,1,1
77,80,2017-11-06 14:59:59,2017-11-02 15:00:00,7,2017-11-03 00:21:56,2017-11-06 15:21:27,1,1
78,81,2017-11-06 14:59:59,2017-11-02 15:00:00,8,2017-11-03 00:21:56,2017-11-06 15:21:27,1,1
79,82,2017-11-06 14:59:59,2017-11-02 15:00:00,9,2017-11-03 00:21:56,2017-11-06 15:21:28,1,1
80,83,2017-11-13 14:59:59,2017-11-09 15:00:00,6,2017-11-10 00:21:15,2017-11-13 15:21:05,1,1
81,84,2017-11-13 14:59:59,2017-11-09 15:00:00,7,2017-11-10 00:21:15,2017-11-13 15:21:06,1,1
