,id,bingo_game_id,user_id,winner,created_at,updated_at,win_claimed,iteration,board_type,performance
0,1,72,175,,2018-04-17 01:40:43,2018-04-17 01:40:43,,1,0,
1,2,72,145,,2018-04-17 01:41:25,2018-04-17 01:41:25,,14,0,
2,3,72,125,,2018-04-17 01:41:32,2018-04-17 01:41:32,,11,0,
3,4,87,173,,2018-04-18 02:17:35,2018-04-18 02:17:35,,5,0,
4,5,73,125,,2018-04-19 01:28:14,2018-04-19 01:28:14,,2,0,
5,6,87,107,,2018-04-19 03:36:56,2018-04-19 03:36:56,,1,0,
6,7,87,122,,2018-04-19 03:37:28,2018-04-19 03:37:28,,2,0,
7,8,87,121,,2018-04-19 03:38:01,2018-04-19 03:38:01,,4,0,
8,9,87,141,,2018-04-19 03:38:22,2018-04-19 03:38:22,,2,0,
9,10,87,175,,2018-04-19 03:38:56,2018-04-19 03:38:56,,1,0,
10,11,74,145,,2018-04-23 03:00:00,2018-04-24 01:03:55,,3,0,
11,12,88,145,,2018-04-23 03:00:51,2018-04-23 03:00:51,,2,0,
12,13,88,173,,2018-04-23 03:15:35,2018-04-23 03:15:35,,1,0,
13,14,74,175,,2018-04-24 01:15:53,2018-04-24 01:15:53,,1,0,
14,15,88,122,,2018-04-24 04:23:27,2018-04-24 04:23:27,,1,0,
15,16,89,173,,2018-04-25 07:41:32,2018-04-25 07:41:32,,3,0,
16,17,75,145,,2018-04-26 01:03:34,2018-04-26 01:03:34,,16,0,
17,18,89,145,,2018-04-26 01:05:12,2018-04-26 01:05:12,,1,0,
18,19,90,144,,2018-05-01 01:23:38,2018-05-01 01:23:38,,1,0,
19,20,74,144,,2018-05-01 01:24:51,2018-05-01 01:24:51,,26,0,
20,21,76,13,,2018-05-08 01:44:12,2018-05-08 01:44:12,,3,0,
21,22,76,185,,2018-05-08 07:58:12,2018-05-08 07:58:12,,4,0,
22,23,77,13,,2018-05-15 02:13:27,2018-05-15 02:13:27,,2,0,
23,24,79,176,,2018-05-23 05:57:35,2018-05-23 05:57:35,,1,0,
24,25,80,185,,2018-05-29 01:29:20,2018-05-29 01:29:20,,1,0,
25,26,94,232,,2018-09-03 08:37:16,2018-09-03 08:37:16,,1,0,
26,27,94,233,,2018-09-03 12:14:58,2018-09-03 12:14:58,,1,0,
27,28,94,231,,2018-09-03 13:40:12,2018-09-03 13:40:12,,4,0,
28,29,94,170,,2018-09-03 18:58:26,2018-09-03 18:58:26,,5,0,
29,30,94,174,,2018-09-04 00:41:10,2018-09-04 00:46:10,,4,0,
30,31,94,172,,2018-09-04 01:13:05,2018-09-04 01:13:05,,4,0,
31,32,94,235,,2018-09-04 13:28:00,2018-09-04 13:28:00,,6,0,
32,33,94,179,,2018-09-05 08:05:17,2018-09-05 08:05:17,,18,0,
33,34,94,237,,2018-09-05 10:50:22,2018-09-05 10:50:22,,1,0,
34,35,95,233,,2018-09-10 04:46:42,2018-09-10 04:46:42,,1,0,
35,36,95,172,,2018-09-10 04:52:29,2018-09-10 04:52:29,,2,0,
36,37,95,237,,2018-09-10 07:36:48,2018-09-10 07:36:48,,3,0,
37,38,95,174,,2018-09-10 07:57:32,2018-09-10 07:59:07,,10,0,
38,39,95,235,,2018-09-10 08:30:17,2018-09-10 08:30:17,,1,0,
39,40,95,230,,2018-09-10 08:30:28,2018-09-10 08:30:28,,14,0,
40,41,95,170,,2018-09-10 23:41:41,2018-09-10 23:41:41,,1,0,
41,42,96,172,,2018-09-17 03:41:27,2018-09-17 03:41:27,,1,0,
42,43,96,174,,2018-09-17 04:09:59,2018-09-17 04:09:59,,8,0,
43,44,96,233,,2018-09-17 04:18:32,2018-09-17 04:18:32,,1,0,
44,45,96,235,,2018-09-17 11:52:59,2018-09-17 11:52:59,,1,0,
45,46,96,170,,2018-09-17 13:30:49,2018-09-17 13:30:49,,1,0,
46,47,96,230,,2018-09-17 14:32:04,2018-09-17 14:32:04,,3,0,
47,48,96,237,,2018-09-18 00:12:00,2018-09-18 00:12:00,,2,0,
48,49,96,231,,2018-09-18 00:41:27,2018-09-18 00:41:27,,2,0,
49,50,96,179,,2018-09-18 14:18:19,2018-09-18 14:18:19,,1,0,
50,51,97,172,,2018-10-01 02:44:17,2018-10-01 02:44:17,,1,0,
51,52,97,174,,2018-10-01 11:46:07,2018-10-01 11:47:02,,14,0,
52,53,97,235,,2018-10-01 14:26:55,2018-10-01 14:26:55,,1,0,
53,54,97,170,,2018-10-01 15:57:21,2018-10-01 15:57:21,,1,0,
54,55,97,231,,2018-10-02 00:16:24,2018-10-02 00:16:24,,2,0,
55,56,98,230,,2018-10-09 10:38:19,2018-10-09 10:38:19,,2,0,
56,57,98,237,,2018-10-09 12:37:58,2018-10-09 12:37:58,,2,0,
57,58,98,231,,2018-10-09 16:08:12,2018-10-09 16:08:12,,1,0,
