,id,bingo_board_id,concept_id,row,column,selected,created_at,updated_at,indeks,candidate_id
0,1,1,231,0,0,0.0,2018-04-17 01:40:43,2018-04-17 01:40:43,,
1,2,1,565,0,1,0.0,2018-04-17 01:40:43,2018-04-17 01:40:43,,
2,3,1,829,0,2,0.0,2018-04-17 01:40:43,2018-04-17 01:40:43,,
3,4,1,1702,0,3,0.0,2018-04-17 01:40:43,2018-04-17 01:40:43,,
4,5,1,2200,0,4,0.0,2018-04-17 01:40:43,2018-04-17 01:40:43,,
5,6,1,2201,1,0,0.0,2018-04-17 01:40:43,2018-04-17 01:40:43,,
6,7,1,2205,1,1,0.0,2018-04-17 01:40:43,2018-04-17 01:40:43,,
7,8,1,2221,1,2,0.0,2018-04-17 01:40:43,2018-04-17 01:40:43,,
8,9,1,2224,1,3,0.0,2018-04-17 01:40:43,2018-04-17 01:40:43,,
9,10,1,2269,1,4,0.0,2018-04-17 01:40:43,2018-04-17 01:40:43,,
10,11,1,2273,2,0,0.0,2018-04-17 01:40:43,2018-04-17 01:40:43,,
11,12,1,2274,2,1,0.0,2018-04-17 01:40:43,2018-04-17 01:40:43,,
12,13,1,0,2,2,1.0,2018-04-17 01:40:43,2018-04-17 01:40:43,,
13,14,1,2278,2,3,0.0,2018-04-17 01:40:43,2018-04-17 01:40:43,,
14,15,1,2280,2,4,0.0,2018-04-17 01:40:43,2018-04-17 01:40:43,,
15,16,1,2284,3,0,0.0,2018-04-17 01:40:43,2018-04-17 01:40:43,,
16,17,1,2286,3,1,0.0,2018-04-17 01:40:43,2018-04-17 01:40:43,,
17,18,1,2287,3,2,0.0,2018-04-17 01:40:43,2018-04-17 01:40:43,,
18,19,1,2289,3,3,0.0,2018-04-17 01:40:43,2018-04-17 01:40:43,,
19,20,1,2290,3,4,0.0,2018-04-17 01:40:43,2018-04-17 01:40:43,,
20,21,1,2291,4,0,0.0,2018-04-17 01:40:43,2018-04-17 01:40:43,,
21,22,1,2293,4,1,0.0,2018-04-17 01:40:43,2018-04-17 01:40:43,,
22,23,1,2294,4,2,0.0,2018-04-17 01:40:43,2018-04-17 01:40:43,,
23,24,1,2297,4,3,0.0,2018-04-17 01:40:43,2018-04-17 01:40:43,,
24,25,1,2299,4,4,0.0,2018-04-17 01:40:43,2018-04-17 01:40:43,,
25,26,2,305,0,0,0.0,2018-04-17 01:41:25,2018-04-17 01:41:25,,
26,27,2,485,0,1,0.0,2018-04-17 01:41:25,2018-04-17 01:41:25,,
27,28,2,565,0,2,0.0,2018-04-17 01:41:25,2018-04-17 01:41:25,,
28,29,2,676,0,3,0.0,2018-04-17 01:41:25,2018-04-17 01:41:25,,
