,id,user_id,group_id,is_group,created_at,updated_at,bingo_game_id,group_requested,cached_performance,archived,contributor_count,current_candidate_list_id,candidates_count
0,9,7.0,,0,2017-04-30 13:53:26,2019-05-18 12:47:56,2,1.0,0.0,1,1,24.0,0
1,10,7.0,,0,2017-04-30 13:53:26,2017-11-04 14:45:36,3,0.0,0.0,0,1,,0
2,11,11.0,,0,2017-04-30 13:53:50,2019-05-18 12:47:56,2,1.0,0.0,1,1,24.0,0
3,12,12.0,,0,2017-04-30 13:53:50,2019-05-18 12:47:56,2,1.0,0.0,1,1,24.0,0
4,13,38.0,,0,2017-04-30 13:53:50,2019-05-18 12:47:57,2,1.0,0.0,1,1,24.0,0
5,14,38.0,,0,2017-05-01 00:46:40,2017-11-04 14:45:36,3,1.0,60.0,0,1,,6
6,15,12.0,,0,2017-05-01 00:47:03,2017-11-04 14:45:36,3,0.0,0.0,0,1,,0
7,16,6.0,,0,2017-05-01 00:47:21,2019-05-18 12:47:57,2,1.0,0.0,1,1,25.0,0
8,17,6.0,,0,2017-05-01 00:47:21,2017-11-04 14:45:36,3,0.0,0.0,0,1,,0
9,18,8.0,,0,2017-05-01 00:47:31,2019-05-18 12:47:57,2,1.0,0.0,1,1,25.0,0
10,19,10.0,,0,2017-05-01 00:47:31,2019-05-18 12:47:57,2,1.0,0.0,1,1,25.0,0
11,20,10.0,,0,2017-05-01 08:35:29,2017-11-04 14:45:36,3,0.0,0.0,0,1,,0
12,21,9.0,,0,2017-05-01 15:32:42,2017-11-04 14:45:36,2,0.0,0.0,0,1,,0
13,22,11.0,,0,2017-05-04 12:59:12,2017-11-04 14:45:36,3,0.0,0.0,0,1,,0
14,23,8.0,,0,2017-05-05 12:33:47,2017-11-04 14:45:36,3,0.0,0.0,0,1,,0
15,24,,5.0,1,2017-05-08 02:33:43,2019-05-18 12:47:56,2,,44.0,0,4,,25
16,25,,6.0,1,2017-05-08 12:38:26,2019-05-18 12:47:57,2,,41.0,0,3,,18
17,26,12.0,,0,2017-05-11 06:25:09,2017-11-04 14:45:36,4,0.0,0.0,0,1,,0
18,27,12.0,,0,2017-05-11 06:25:09,2017-11-04 14:45:37,6,0.0,0.0,0,1,,0
19,28,12.0,,0,2017-05-11 06:25:10,2019-05-18 12:47:58,5,1.0,0.0,1,1,145.0,0
20,29,12.0,,0,2017-05-11 06:25:10,2019-05-18 12:47:58,7,1.0,0.0,1,1,146.0,0
