,id,gov_code,name_en,created_at,updated_at,name_ko
0,1,0,I prefer not to answer,2017-03-02 08:22:29,2017-08-17 01:19:04,
1,2,1,"Agriculture, agriculture operations, and related sciences",2017-03-02 08:22:29,2017-08-17 01:19:04,
2,3,3,Natural resources and conservation,2017-03-02 08:22:29,2017-08-17 01:19:04,
3,4,4,Architecture and related services,2017-03-02 08:22:29,2017-08-17 01:19:04,
4,5,5,"Area, ethnic, cultural, gender, and group studies",2017-03-02 08:22:29,2017-08-17 01:19:04,
5,6,9,"Communication, journalism, and related programs",2017-03-02 08:22:29,2017-08-17 01:19:04,
6,7,10,Communications technologies/technicians and support services,2017-03-02 08:22:29,2017-08-17 01:19:04,
7,8,11,Computer and information sciences and support services,2017-03-02 08:22:29,2017-08-17 01:19:04,
8,9,12,Personal and culinary services,2017-03-02 08:22:29,2017-08-17 01:19:04,
9,10,13,Education,2017-03-02 08:22:29,2017-08-17 01:19:04,
10,11,14,Engineering,2017-03-02 08:22:29,2017-08-17 01:19:04,
11,12,15,Engineering technologies and engineering-related fields,2017-03-02 08:22:29,2017-08-17 01:19:04,
12,13,16,"Foreign languages, literatures, and linguistics",2017-03-02 08:22:29,2017-08-17 01:19:04,
13,14,19,Family and consumer sciences/human sciences,2017-03-02 08:22:29,2017-08-17 01:19:04,
14,15,22,Legal professions and studies,2017-03-02 08:22:29,2017-08-17 01:19:04,
15,16,23,English language and literature/letters,2017-03-02 08:22:29,2017-08-17 01:19:04,
16,17,24,"Liberal arts and sciences, general studies and humanities",2017-03-02 08:22:29,2017-08-17 01:19:04,
17,18,25,Library science,2017-03-02 08:22:29,2017-08-17 01:19:04,
18,19,26,Biological and biomedical sciences,2017-03-02 08:22:29,2017-08-17 01:19:04,
19,20,27,Mathematics and statistics,2017-03-02 08:22:29,2017-08-17 01:19:04,
20,21,28,"Military science, leadership and operational art",2017-03-02 08:22:29,2017-08-17 01:19:04,
21,22,29,Military technologies and applied sciences,2017-03-02 08:22:29,2017-08-17 01:19:04,
22,23,30,Multi/interdisciplinary studies,2017-03-02 08:22:29,2017-08-17 01:19:04,
23,24,31,"Parks, recreation, leisure, and fitness studies",2017-03-02 08:22:29,2017-08-17 01:19:04,
24,25,32,Basic skills and developmental/remedial education,2017-03-02 08:22:29,2017-08-17 01:19:04,
25,26,33,Citizenship activities,2017-03-02 08:22:29,2017-08-17 01:19:04,
26,27,34,Health-related knowledge and skills,2017-03-02 08:22:29,2017-08-17 01:19:04,
27,28,35,Interpersonal and social skills,2017-03-02 08:22:29,2017-08-17 01:19:04,
28,29,36,Leisure and recreational activities,2017-03-02 08:22:29,2017-08-17 01:19:04,
29,30,37,Personal awareness and self-improvement,2017-03-02 08:22:29,2017-08-17 01:19:04,
30,31,38,Philosophy and religious studies,2017-03-02 08:22:29,2017-08-17 01:19:05,
31,32,39,Theology and religious vocations,2017-03-02 08:22:29,2017-08-17 01:19:05,
32,33,40,Physical sciences,2017-03-02 08:22:29,2017-08-17 01:19:05,
33,34,41,Science technologies/technicians,2017-03-02 08:22:29,2017-08-17 01:19:05,
34,35,42,Psychology,2017-03-02 08:22:29,2017-08-17 01:19:05,
35,36,43,"Homeland security, law enforcement, firefighting and related protective services",2017-03-02 08:22:29,2017-08-17 01:19:05,
36,37,44,Public administration and social service professions,2017-03-02 08:22:29,2017-08-17 01:19:05,
37,38,45,Social sciences,2017-03-02 08:22:29,2017-08-17 01:19:05,
38,39,46,Construction trades,2017-03-02 08:22:29,2017-08-17 01:19:05,
39,40,47,Mechanic and repair technologies/technicians,2017-03-02 08:22:29,2017-08-17 01:19:05,
40,41,48,Precision production,2017-03-02 08:22:29,2017-08-17 01:19:05,
41,42,49,Transportation and materials moving,2017-03-02 08:22:29,2017-08-17 01:19:05,
42,43,50,Visual and performing arts,2017-03-02 08:22:29,2017-08-17 01:19:05,
43,44,51,Health professions and related programs,2017-03-02 08:22:29,2017-08-17 01:19:05,
44,45,52,"Business, management, marketing, and related support services",2017-03-02 08:22:29,2017-08-17 01:19:05,
45,46,53,High school/secondary diplomas and certificates,2017-03-02 08:22:29,2017-08-17 01:19:05,
46,47,54,History,2017-03-02 08:22:29,2017-08-17 01:19:05,
47,48,60,Residency programs,2017-03-02 08:22:29,2017-08-17 01:19:05,
48,49,100,Other,2017-03-02 08:22:29,2017-08-17 01:19:05,
