,id,name,created_at,updated_at,candidates_count,courses_count,bingo_games_count
0,0,*,2018-04-14 15:00:08,2018-04-14 15:00:08,0,0,0
1,1,Remote Administration System,2017-05-06 23:50:47,2019-02-13 14:12:22,1,1,1
2,2,Usage And Administration Portal,2017-05-06 23:50:47,2019-02-13 14:12:22,2,1,2
3,3,Self-service Portal,2017-05-06 23:50:47,2019-02-13 14:12:22,3,2,3
4,4,Resource Management System,2017-05-06 23:50:47,2019-02-13 14:12:22,2,1,2
5,5,Billing Management System,2017-05-06 23:50:47,2019-02-13 14:12:22,2,1,2
6,6,Cloud Resource Administrator,2017-05-06 23:50:47,2019-02-13 14:12:22,1,1,1
7,7,Asymmetric Distribution,2017-05-09 00:44:12,2019-02-13 14:12:22,2,1,1
8,8,Workload Prioritization,2017-05-09 00:44:12,2019-02-13 14:12:22,2,1,1
9,9,Active-active,2017-05-09 00:44:12,2019-02-13 14:12:22,1,1,1
10,10,Active-passive,2017-05-09 00:44:12,2019-02-13 14:12:22,1,1,1
11,11,,2017-05-09 00:44:12,2019-02-13 14:12:22,19,5,15
12,12,Auto-scaling,2017-05-09 00:50:29,2019-02-13 14:12:22,1,1,1
13,13,Automated Scaling Listener,2017-05-09 00:50:29,2019-02-13 14:12:22,2,1,1
14,14,Audit Monitor,2017-05-09 00:50:29,2019-02-13 14:12:22,2,1,1
15,15,Content-aware Distribution,2017-05-09 01:00:14,2019-02-13 14:12:22,3,1,1
16,16,Cloud Consumer Subscription Type,2017-05-09 01:00:14,2019-02-13 14:12:22,2,1,1
17,17,Failover System,2017-05-09 01:00:14,2019-02-13 14:12:22,2,1,1
18,18,Hypervisor,2017-05-09 01:00:14,2019-02-13 14:12:22,2,1,1
19,19,Resource Cluster,2017-05-09 01:00:14,2019-02-13 14:12:22,2,1,1
20,20,Service Level Agreement (sla) Monitor,2017-05-09 01:05:54,2019-02-13 14:12:22,1,1,1
21,21,Database Cluster,2017-05-09 01:05:54,2019-02-13 14:12:22,2,1,1
22,22,Large Dataset Cluster,2017-05-09 01:05:54,2019-02-13 14:12:22,2,1,1
23,23,Load Balanced Cluster,2017-05-09 01:05:54,2019-02-13 14:12:23,2,1,1
24,24,High Availability (ha) Cluster,2017-05-09 01:05:54,2019-02-13 14:12:23,1,1,1
25,25,Cloud Storage Gateway,2017-05-09 01:05:55,2019-02-13 14:12:23,1,1,1
26,26,Scaling,2017-05-09 04:42:17,2019-02-13 14:12:23,7,2,3
27,27,Pay-per-use Monitor,2017-05-09 04:42:17,2019-02-13 14:12:23,2,2,2
28,28,Multi-device Broker,2017-05-09 04:42:17,2019-02-13 14:12:23,2,1,1
29,29,Load Balancer,2017-05-09 04:42:17,2019-02-13 14:12:23,1,1,1
30,30,Resource Usage Category,2017-05-09 04:42:17,2019-02-13 14:12:23,2,1,1
31,31,Quota,2017-05-09 04:42:18,2019-02-13 14:12:23,1,1,1
32,32,Server-cluster,2017-05-09 04:42:18,2019-02-13 14:12:23,2,1,1
33,33,State Management Database,2017-05-09 04:44:24,2019-02-13 14:12:23,1,1,1
34,34,Mobile Device Gateway,2017-05-09 04:44:24,2019-02-13 14:12:23,1,1,1
35,35,Availability,2017-05-14 05:34:20,2019-02-13 14:12:23,6,2,2
36,36,Reliability,2017-05-14 05:34:20,2019-02-13 14:12:23,7,3,3
37,37,Resiliency,2017-05-14 05:34:20,2019-02-13 14:12:23,1,1,1
38,38,Service Level Agreement (sla),2017-05-14 05:34:20,2019-02-13 14:12:23,13,4,4
39,39,Remote Administration Mechanism,2017-05-14 05:34:20,2019-02-13 14:12:23,1,1,1
40,40,Cloud Delivery Model,2017-05-14 05:34:20,2019-02-13 14:12:23,1,1,1
41,41,Asynchronous,2017-05-14 05:34:20,2019-02-13 14:12:23,7,1,1
42,42,Permissible,2017-05-14 05:34:20,2019-02-13 14:12:23,1,1,1
43,43,Design Phase,2017-05-14 05:34:20,2019-02-13 14:12:24,1,1,1
44,44,Switchover,2017-05-14 05:34:20,2019-02-13 14:12:24,1,1,1
45,45,Quality Of Service (qos),2017-05-14 05:34:20,2019-02-13 14:12:24,2,1,1
46,46,Archive,2017-05-14 05:34:20,2019-02-13 14:12:24,2,1,1
47,47,Detrimental,2017-05-14 05:34:20,2019-02-13 14:12:24,1,1,1
48,48,Deviate,2017-05-14 05:34:20,2019-02-13 14:12:24,1,1,1
49,49,Stipulation,2017-05-14 05:34:21,2019-02-13 14:12:24,2,1,1
50,50,Performance,2017-05-14 05:38:33,2019-02-13 14:12:24,5,2,2
51,51,Scalability,2017-05-14 05:38:33,2019-02-13 14:12:24,32,5,9
52,52,Parameter,2017-05-14 05:38:33,2019-02-13 14:12:24,10,2,2
53,53,Operational Phase,2017-05-14 05:38:34,2019-02-13 14:12:24,1,1,1
54,54,Recovery Phase,2017-05-14 05:38:34,2019-02-13 14:12:24,1,1,1
55,55,Downtime,2017-05-14 05:38:34,2019-02-13 14:12:24,8,4,4
56,56,Fault Tolerant,2017-05-14 05:38:34,2019-02-13 14:12:24,5,3,3
57,57,Monetary,2017-05-14 05:38:34,2019-02-13 14:12:24,1,1,1
58,58,Copyright,2017-05-21 02:03:01,2019-02-13 14:12:25,58,5,8
59,59,Information System,2017-05-21 02:03:01,2019-02-13 14:12:25,17,4,7
60,60,Web Server,2017-05-21 02:03:01,2019-02-13 14:12:25,14,4,7
61,61,Complex Instruction Set Chip (cisc),2017-05-21 02:03:01,2019-02-13 14:12:25,1,1,1
62,62,Web Hosting Service,2017-05-21 02:03:01,2019-02-13 14:12:25,15,3,5
63,63,Computer Crime,2017-05-21 02:03:01,2019-02-13 14:12:25,26,4,8
64,64,Can-spam Act,2017-05-21 02:03:01,2019-02-13 14:12:25,1,1,1
65,65,Accountability,2017-05-21 02:03:01,2019-04-21 01:55:03,8,3,5
66,66,Association Of Computing Machinery (acm),2017-05-21 02:03:01,2019-02-13 14:12:25,1,1,1
67,67,Fair Information Practices (fip),2017-05-21 02:03:01,2019-02-13 14:12:25,38,4,8
68,68,Web Beacons,2017-05-21 02:03:01,2019-02-13 14:12:25,34,4,8
69,69,Digital Millenium Copyright Act (dmca),2017-05-21 02:03:02,2019-02-13 14:12:25,12,4,7
70,70,Hashing,2017-05-21 02:08:04,2019-02-13 14:12:25,4,1,2
71,71,User Management,2017-05-21 02:08:04,2019-02-13 14:12:25,2,1,1
72,72,Credential Management,2017-05-21 02:08:04,2019-02-13 14:12:25,2,1,1
73,73,Authorization,2017-05-21 02:08:04,2019-02-13 14:12:25,2,1,1
74,74,Plaintext,2017-05-21 02:08:05,2019-02-13 14:12:25,2,1,1
75,75,Cipher,2017-05-21 02:08:05,2019-02-13 14:12:25,1,1,1
76,76,Encryption Key,2017-05-21 02:08:05,2019-02-13 14:12:25,6,1,1
77,77,Symmetric Encryption,2017-05-21 02:08:05,2019-02-13 14:12:25,2,1,1
78,78,Asymmetric Encryption,2017-05-21 02:08:05,2019-02-13 14:12:25,1,1,1
79,79,Encryption,2017-05-21 02:08:05,2019-02-13 14:12:25,16,5,6
80,80,Ciphertext,2017-05-21 02:08:05,2019-02-13 14:12:25,8,1,1
81,81,Single Sign-on (sso),2017-05-21 02:08:05,2019-02-13 14:12:25,4,1,2
82,82,Hardened Virtual Server Image,2017-05-21 02:08:05,2019-02-13 14:12:25,3,1,2
83,83,Authentication,2017-05-21 02:08:05,2019-02-13 14:12:25,8,3,4
84,84,Digital Signature,2017-05-21 02:12:42,2019-02-13 14:12:25,10,2,3
85,85,Public Key Infrastructure (pki),2017-05-21 02:12:42,2019-02-13 14:12:25,13,5,6
86,86,Certificate Authority,2017-05-21 02:12:42,2019-02-13 14:12:25,1,1,1
87,87,Secret Key Cryptography,2017-05-21 02:14:01,2019-02-13 14:12:25,1,1,1
88,88,Identity And Access Management,2017-05-21 02:14:02,2019-02-13 14:12:25,3,1,2
89,89,Ethics,2017-05-21 02:21:25,2019-04-21 01:55:04,14,4,7
90,90,Advertiser,2017-05-21 02:21:25,2019-02-13 14:12:25,1,1,1
91,91,(browser) Cookie,2017-05-21 02:21:25,2019-02-13 14:12:25,54,4,7
