,id,accepted,consent_form_id,user_id,created_at,updated_at,presented
0,1,1.0,1,1,2017-08-28 01:28:43,2017-08-28 01:28:49,1.0
1,2,1.0,1,131,2017-08-28 06:17:34,2017-08-28 06:17:42,1.0
2,3,0.0,1,4,2017-08-28 06:29:48,2017-08-31 08:31:51,1.0
3,4,1.0,1,125,2017-08-28 06:29:55,2017-08-30 00:21:29,1.0
4,5,1.0,1,111,2017-08-28 07:59:39,2017-08-28 08:16:58,1.0
5,6,1.0,1,107,2017-08-29 02:30:19,2017-08-29 02:30:32,1.0
6,7,1.0,1,128,2017-08-29 03:38:25,2017-08-29 03:38:35,1.0
7,8,1.0,1,112,2017-08-29 03:57:02,2017-08-29 03:57:11,1.0
8,9,1.0,1,106,2017-08-29 05:59:21,2017-08-29 06:00:09,1.0
9,10,1.0,1,129,2017-08-29 06:46:04,2017-08-29 06:46:18,1.0
10,11,1.0,1,130,2017-08-29 06:46:20,2017-08-29 06:46:35,1.0
11,12,1.0,1,25,2017-08-29 07:21:15,2017-08-29 07:21:30,1.0
12,13,1.0,1,137,2017-08-29 07:22:08,2017-08-29 07:22:22,1.0
13,14,1.0,1,109,2017-08-29 07:22:17,2017-08-29 07:22:27,1.0
14,15,1.0,1,132,2017-08-29 07:23:05,2017-08-29 07:23:16,1.0
15,16,1.0,1,6,2017-08-29 07:23:34,2017-08-29 07:23:47,1.0
16,17,1.0,1,145,2017-08-29 07:26:31,2017-08-29 07:26:46,1.0
17,18,1.0,1,37,2017-08-29 07:26:53,2017-08-29 07:26:59,1.0
18,19,0.0,1,141,2017-08-29 07:28:00,2017-11-10 13:36:17,1.0
19,20,1.0,1,140,2017-08-29 07:28:52,2017-08-29 07:29:11,1.0
20,21,1.0,1,150,2017-08-29 07:29:45,2017-09-09 03:15:15,1.0
21,22,1.0,1,138,2017-08-29 07:30:07,2017-08-29 07:30:14,1.0
22,23,1.0,1,146,2017-08-29 07:43:48,2017-08-29 07:44:02,1.0
23,24,1.0,1,113,2017-08-29 07:47:30,2017-08-29 10:47:21,1.0
24,25,1.0,1,118,2017-08-29 07:47:36,2017-08-29 07:47:43,1.0
25,26,1.0,1,39,2017-08-29 07:47:41,2017-08-29 07:47:56,1.0
26,27,1.0,1,22,2017-08-29 09:20:09,2017-08-29 09:20:20,1.0
27,28,1.0,1,105,2017-08-29 09:36:45,2017-08-29 10:01:13,1.0
28,29,1.0,1,117,2017-08-29 10:00:03,2017-08-29 10:00:14,1.0
29,30,1.0,1,149,2017-08-29 11:26:05,2017-08-29 11:26:48,1.0
30,31,1.0,1,144,2017-08-29 12:28:57,2017-08-29 12:29:20,1.0
31,32,1.0,1,143,2017-08-29 13:57:22,2017-09-15 14:04:36,1.0
32,33,1.0,1,19,2017-08-29 14:44:04,2017-08-29 14:44:14,1.0
33,34,1.0,1,110,2017-08-29 19:35:06,2017-08-29 19:38:11,1.0
34,35,1.0,1,20,2017-08-30 00:15:34,2017-08-30 00:17:28,1.0
35,36,1.0,1,139,2017-08-30 04:12:17,2017-08-30 04:12:36,1.0
36,37,1.0,1,38,2017-08-30 05:08:39,2017-08-30 05:08:49,1.0
37,38,1.0,1,142,2017-08-30 08:21:33,2017-08-30 08:21:45,1.0
38,39,1.0,1,133,2017-08-30 10:39:13,2017-08-30 10:39:43,1.0
39,40,1.0,1,123,2017-08-30 11:41:45,2017-08-30 11:41:52,1.0
40,41,1.0,1,119,2017-08-30 13:33:21,2017-08-30 13:34:02,1.0
41,42,1.0,1,154,2017-08-30 14:15:31,2017-08-30 14:17:44,1.0
42,43,1.0,1,152,2017-08-30 15:19:23,2017-08-30 15:20:15,1.0
43,44,0.0,1,155,2017-08-31 00:22:50,2017-08-31 00:22:50,
44,45,1.0,1,121,2017-08-31 01:28:51,2017-08-31 01:29:27,1.0
45,46,1.0,1,153,2017-08-31 02:56:07,2017-08-31 05:10:01,1.0
46,47,0.0,1,158,2017-08-31 04:13:45,2017-08-31 04:13:45,
47,48,1.0,1,8,2017-08-31 04:37:30,2017-08-31 04:37:44,1.0
48,49,1.0,1,134,2017-08-31 06:31:05,2017-08-31 06:31:49,1.0
49,50,1.0,1,114,2017-08-31 07:05:14,2017-08-31 07:05:31,1.0
50,51,1.0,1,148,2017-08-31 07:09:26,2017-08-31 07:09:33,1.0
51,52,1.0,1,147,2017-08-31 07:18:43,2017-08-31 07:19:01,1.0
52,53,1.0,1,36,2017-08-31 07:36:01,2017-08-31 07:38:07,1.0
53,54,1.0,1,136,2017-08-31 08:04:21,2017-08-31 08:04:42,1.0
54,55,1.0,1,157,2017-08-31 09:21:12,2017-08-31 09:23:29,1.0
55,56,1.0,1,126,2017-09-01 00:30:03,2017-09-01 00:30:15,1.0
56,57,1.0,1,104,2017-09-07 06:59:28,2017-09-07 07:00:00,1.0
57,58,0.0,1,161,2017-09-23 00:28:59,2017-09-23 00:28:59,
58,59,1.0,1,162,2017-09-23 06:22:32,2017-09-23 06:22:45,1.0
