,id,group_id,name,members,created_at,updated_at
0,1,2,A,40 42 43 48 ,2017-03-23 04:05:48,2017-03-23 04:05:48
1,2,4,C,46 47 50 51 ,2017-03-23 04:05:48,2017-03-23 04:05:48
2,3,3,B,41 44 45 49 ,2017-03-23 04:20:27,2017-03-23 04:20:27
3,4,4,Gamma,46 47 50 ,2017-03-24 08:08:59,2017-03-24 08:08:59
4,5,13,TEAM A,13 22 ,2017-04-16 13:18:30,2017-04-16 13:18:30
5,6,8,GO TEAM,12 25 34 39 22 ,2017-05-11 02:41:49,2017-05-11 02:41:49
6,7,12,Power Ranger,14 15 35 36 13 ,2017-05-11 02:41:49,2017-05-11 02:41:49
7,8,13,TEAM A,,2017-05-11 02:41:49,2017-05-11 02:41:49
8,9,2,W (Vehicle Victory),40 42 43 48 ,2017-05-30 06:26:42,2017-05-30 06:26:42
9,10,3,4G,41 44 45 49 ,2017-05-30 06:26:42,2017-05-30 06:26:42
10,11,4,Gamma,46 47 50 ,2017-05-30 06:26:42,2017-05-30 06:26:42
11,12,5,Wolken,7 11 12 38 ,2017-05-30 06:26:42,2017-05-30 06:26:42
12,13,6,The EYE,6 8 10 ,2017-05-30 06:26:42,2017-05-30 06:26:42
13,14,7,BANG!,28 29 31 56 ,2017-05-30 06:26:42,2017-05-30 06:26:42
14,15,8,GO TEAM,12 22 25 34 39 ,2017-05-30 06:26:42,2017-05-30 06:26:42
15,16,9,Yawhee,19 21 23 33 ,2017-05-30 06:26:42,2017-05-30 06:26:42
16,17,10,Mentos,16 20 27 32 ,2017-05-30 06:26:42,2017-05-30 06:26:42
17,18,11,Working Towards the Future (WTF),17 26 30 37 ,2017-05-30 06:26:42,2017-05-30 06:26:42
18,19,12,Power Ranger,13 14 15 35 36 ,2017-05-30 06:26:42,2017-05-30 06:26:42
19,20,13,TEAM A,,2017-05-30 06:26:42,2017-05-30 06:26:42
20,21,14,Triple S,113 118 119 ,2017-09-12 15:07:42,2017-09-12 15:07:42
21,22,15,Coffee Mug,105 109 110 ,2017-09-12 15:07:42,2017-09-12 15:07:42
22,23,16,Undefined,107 111 112 ,2017-09-12 15:07:42,2017-09-12 15:07:42
23,24,16,Undefined,107 111 112 ,2017-09-12 15:14:16,2017-09-12 15:14:16
24,25,17,Out of the Cube,107 110 113 ,2017-09-12 15:16:36,2017-09-12 15:16:36
25,26,18,SYS,105 112 118 ,2017-09-12 15:16:36,2017-09-12 15:16:36
26,27,18,SYS,105 111 118 ,2017-09-12 15:21:07,2017-09-12 15:21:07
27,28,19,undefined,109 112 119 ,2017-09-12 15:21:07,2017-09-12 15:21:07
28,29,20,Serendipity,112 125 126 129 130 ,2017-09-13 03:09:12,2017-09-13 03:09:12
29,30,21,Bingo! Jellyfish,105 106 117 123 ,2017-09-13 03:09:12,2017-09-13 03:09:12
30,31,22,unnamed,119 121 128 153 ,2017-09-13 03:09:56,2017-09-13 03:09:56
31,32,23,History Makers,36 132 133 138 ,2017-09-13 05:58:20,2017-09-13 05:58:20
32,33,24,4JS,6 20 137 146 ,2017-09-13 06:00:51,2017-09-13 06:00:51
33,34,25,371DEGREE,125 134 142 143 ,2017-09-13 06:02:21,2017-09-13 06:02:21
34,35,26,Mirage,8 129 130 136 ,2017-09-13 06:03:27,2017-09-13 06:03:27
35,36,27, I Need a Coding Beat Boy,118 139 145 149 ,2017-09-13 06:04:39,2017-09-13 06:04:39
