,id,home_country_id,name,code,no_response,created_at,updated_at
0,1,250,not applicable,--:__,0,2017-08-17 01:19:13,2017-08-17 01:19:13
1,2,1,Canillo,02:AD,0,2017-08-17 01:19:14,2017-08-17 01:19:14
2,3,1,Encamp,03:AD,0,2017-08-17 01:19:14,2017-08-17 01:19:14
3,4,1,La Massana,04:AD,0,2017-08-17 01:19:14,2017-08-17 01:19:14
4,5,1,Ordino,05:AD,0,2017-08-17 01:19:14,2017-08-17 01:19:14
5,6,1,Sant Julià de Loria,06:AD,0,2017-08-17 01:19:14,2017-08-17 01:19:14
6,7,1,Andorra la Vella,07:AD,0,2017-08-17 01:19:14,2017-08-17 01:19:14
7,8,1,Escaldes-Engordany,08:AD,0,2017-08-17 01:19:14,2017-08-17 01:19:14
8,9,1,I prefer not to specify the state,__:AD,1,2017-08-17 01:19:14,2017-08-17 01:19:14
9,10,2,Ajman,AJ:AE,0,2017-08-17 01:19:15,2017-08-17 01:19:15
10,11,2,Abu Dhabi,AZ:AE,0,2017-08-17 01:19:15,2017-08-17 01:19:15
11,12,2,Dubai,DU:AE,0,2017-08-17 01:19:15,2017-08-17 01:19:15
12,13,2,Al Fujayrah,FU:AE,0,2017-08-17 01:19:15,2017-08-17 01:19:15
13,14,2,Ras al Khaymah,RK:AE,0,2017-08-17 01:19:15,2017-08-17 01:19:15
14,15,2,Ash Shariqah,SH:AE,0,2017-08-17 01:19:15,2017-08-17 01:19:15
15,16,2,Umm al Qaywayn,UQ:AE,0,2017-08-17 01:19:15,2017-08-17 01:19:15
16,17,2,I prefer not to specify the state,__:AE,1,2017-08-17 01:19:15,2017-08-17 01:19:15
17,18,3,Herat,HER:AF,0,2017-08-17 01:19:15,2017-08-17 01:19:15
18,19,3,Kabul,KAB:AF,0,2017-08-17 01:19:15,2017-08-17 01:19:15
19,20,3,Kandahar,KAN:AF,0,2017-08-17 01:19:15,2017-08-17 01:19:15
20,21,3,I prefer not to specify the state,__:AF,1,2017-08-17 01:19:15,2017-08-17 01:19:15
21,22,4,Parish of Saint George,03:AG,0,2017-08-17 01:19:16,2017-08-17 01:19:16
22,23,4,Parish of Saint John,04:AG,0,2017-08-17 01:19:16,2017-08-17 01:19:16
